dutch_word,english1,sentence1,english2,sentence2
"aanzien (het)","appearance","Zijn aanzien in de buurt is groot.","reputation","Het project gaf hem veel aanzien."
"aanzien","to look at","Ze bleef hem bewonderend aanzien.","to regard","Hij werd aangezien als een expert."
"aanzienlijk","considerable","Ze maakte aanzienlijke vooruitgang.","significant","Het project kostte een aanzienlijk bedrag."
"aard","nature","De aard van het probleem was complex.","kind","Hij is van vriendelijke aard."
"aardappel","potato","Ze kocht een zak aardappelen.","spud","We eten vaak aardappelgerechten."
"aarde","earth","De aarde draait om de zon.","soil","Ze plantten bloemen in de aarde."
"aardig","kind","Ze was aardig tegen iedereen.","nice","Hij is een aardige man."
"aarzelen","to hesitate","Ze begon te aarzelen voor ze antwoordde.","to waver","Hij aarzelde om te vertrekken."
"absoluut","absolute","Hij had absoluut gelijk.","completely","Ik vertrouw hem absoluut."
"achten","to consider","Ik acht hem bekwaam voor de baan.","to respect","Ze achten hun ouders hoog."
"achter (vz)","behind","Het huis ligt achter de winkel.","at the back","De tuin ligt achter het huis."
"achter (bw)","behind","Ze liep achteraan in de rij.","backwards","De auto reed achteruit."
"achterblijven","to stay behind","Na school bleef hij achter.","to fall behind","Ze bleef achter met haar werk."
"achtergrond","background","De achtergrond van de foto is wazig.","backdrop","Ze gebruikten een mooie achtergrond."
"achteruit","backwards","De auto reed achteruit.","in reverse","Hij keek achteruit naar de weg."
"actie","action","Ze namen actie tegen de plannen.","campaign","Ze voerden een actie voor het goede doel."
"activiteit","activity","De kinderen namen deel aan een activiteit.","event","Het bedrijf organiseert een activiteit."
"adres (het)","address","Wat is je nieuwe adres?","location","Ze schreven het adres op de envelop."
"advies (het)","advice","Ze gaf goed advies.","recommendation","Het advies was nuttig."
"af (vz)","off","Hij sprong van de tafel af.","away","Ze namen hun schoenen af."
"af (bw)","off","Het licht ging af.","down","De temperatuur ging af."
"afdeling","department","Hij werkt op de financiële afdeling.","section","Ze bezochten de kledingafdeling."
"afhangen","to depend","Het resultaat hangt af van het weer.","to hang down","De gordijnen hingen af."
"afhankelijk","dependent","Ze is afhankelijk van hulp.","reliant","Hij is afhankelijk van technologie."
"afkomen","to come off","Het deksel kwam eraf.","to get rid of","Hij kon niet van het idee afkomen."
"aflopen","to end","De film loopt om tien uur af.","to expire","Het contract loopt binnenkort af."
"afnemen","to decrease","Het aantal klanten neemt af.","to reduce","Ze nemen de prijzen af."
"afpakken","to take away","Ze pakten zijn speelgoed af.","to seize","De politie pakte de drugs af."
"afscheid (het)","farewell","Ze namen afscheid van elkaar.","goodbye","Hij zei afscheid voor hij vertrok."
"afsluiten","to close","Ze sluiten de straat af.","to lock","Ze moeten de deur goed afsluiten."
"afspraak","appointment","Hij had een afspraak bij de dokter.","agreement","Ze maakten een afspraak over de samenwerking."
"afstand","distance","De afstand tussen de steden is groot.","range","Ze liepen een afstand van tien kilometer."
"afvegen","to wipe","Hij veegde het bord af.","to clean","Ze veegden het vuil af."
"afvragen","to wonder","Ik vraag me vaak af wat hij bedoelt.","to question","Ze begon zichzelf af te vragen of dit juist was."
"afwachten","to wait for","We moeten het resultaat afwachten.","to await","Ze wachtten de beslissing rustig af."
"afwezig","absent","Hij was afwezig tijdens de les.","missing","Ze merkte dat hij vaak afwezig leek met zijn gedachten."
"agent","police officer","De agent schreef een boete uit.","officer","Ze sprak met een agent over de situatie."
"akkoord (het)","agreement","Ze bereikten een akkoord over de deal.","deal","Het akkoord werd ondertekend door beide partijen."
"akkoord (bw)","okay","Hij ging akkoord met het voorstel.","alright","Ze zei akkoord en tekende het contract."
"al (bw)","already","Hij is al vertrokken.","all","Ze heeft al haar boeken gelezen."
"al (vw)","although","Al regent het, we gaan wandelen.","even though","Al hij ziek is, komt hij toch."
"al / alle","all","Alle kinderen speelden buiten.","every","Ze kent alle regels van het spel."
"aldoor","constantly","Ze praat aldoor tijdens de film.","continuously","Het regende aldoor die dag."
"aldus","thus","Aldus eindigde het verhaal.","according to","Aldus de burgemeester komt er een feest."
"alle","all","Alle stoelen zijn bezet.","every","Ze hebben alle taken voltooid."
"allebei","both","Ze hebben allebei gewonnen.","both of them","Allebei waren ze blij met het resultaat."
"alleen","alone","Ze voelde zich alleen in het grote huis.","only","Er is alleen melk in de koelkast."
"allemaal","all","Ze waren allemaal blij.","everyone","Allemaal kwamen ze op tijd."
"allerlei","all kinds of","Ze heeft allerlei boeken in haar kast.","various","Hij probeert allerlei recepten uit."
"alles","everything","Alles is geregeld voor het feest.","all","Hij wil alles weten over het project."
"als","if","Als het regent, blijf ik thuis.","as","Hij werkt als docent."
"alsjeblieft","please","Mag ik wat water, alsjeblieft?","here you go","Hier is je pen, alsjeblieft."
"alsof","as if","Ze deed alsof ze hem niet hoorde.","like","Hij kijkt alsof hij boos is."
"alstublieft","please","Alstublieft, neem plaats.","here you are","Hier is uw bestelling, alstublieft."
"althans","at least","Het was leuk, althans voor mij.","anyway","Hij komt morgen, althans dat zei hij."
"altijd","always","Ze is altijd op tijd.","forever","Hij zal altijd van je houden."
"alweer","again","Ben je alweer hier?","once more","Het is alweer vrijdag."
"ambassade","embassy","Ze gingen naar de Nederlandse ambassade.","mission","De ambassade organiseert een receptie."
"ambtenaar","civil servant","De ambtenaar hielp met de aanvraag.","official","Ze sprak met een ambtenaar van de gemeente."
"ander","other","Hij koos een ander boek.","different","Ze wilde iets anders proberen."
"anderhalf","one and a half","Ze dronken anderhalf glas water.","one-and-a-half","Het duurde anderhalf uur."
"anders","different","Ze had een anders idee.","otherwise","Doe het snel, anders missen we de bus."
"anderzijds","on the other hand","Het is leuk, maar anderzijds kost het veel.","conversely","Anderzijds wil hij niet gaan."
"angst","fear","Zijn grootste angst is falen.","anxiety","Ze had veel angst voor het examen."
"angstig","anxious","Ze voelde zich angstig in het donker.","fearful","Hij keek angstig rond."
"antwoord (het)","answer","Het antwoord was correct.","reply","Zijn antwoord kwam snel."
"antwoorden","to answer","Ze moest de vraag antwoorden.","to reply","Hij antwoorden direct op de mail."
"apart","separate","Ze houden de kamers apart.","apart","Ze wonen apart van hun ouders."
"appel","apple","Hij at een appel als snack.","call","Ze deden een appel op vrijwilligers."
"apotheek","pharmacy","Ze kocht medicijnen bij de apotheek.","chemist","De apotheek opent om acht uur."
"april","April","Ze zijn in april getrouwd.","April month","April is vaak wisselvallig."
"arbeid","labour","Arbeid is belangrijk voor de economie.","work","Ze verrichtten zware arbeid."
"arbeider","worker","De arbeider bouwde een huis.","labourer","Ze spraken met een arbeider over de omstandigheden."
"arm","poor","Ze leefden arm in die tijd.","arm","Hij brak zijn arm tijdens het spel."
"artikel (het)","article","Ik las een interessant artikel.","item","Ze verkochten een duur artikel."
"arts","doctor","De arts gaf advies.","physician","Ze consulteerde een arts in het ziekenhuis."
"augustus","August","Ze gingen in augustus op vakantie.","August month","Augustus is vaak warm."
"auto","car","Ze kochten een nieuwe auto.","automobile","De auto staat voor de deur."
"avond","evening","De avond was gezellig.","night","We gingen 's avonds uit eten."
"B","B","De letter B komt na A.","bee","Het klinkt als een B."
"baan","job","Hij vond een nieuwe baan.","track","Ze liepen op de baan."
"baard","beard","Hij heeft een lange baard.","facial hair","Ze knipten zijn baard kort."
"baas","boss","De baas gaf een opdracht.","chief","Ze luisterden naar hun baas."
"baby","baby","De baby sliep rustig.","infant","Ze hielden de baby vast."
"bad (het)","bath","Ze nam een warm bad.","tub","Hij vulde het bad met water."
"bagage","luggage","Ze hadden veel bagage mee.","baggage","De bagage werd gecontroleerd."
"bakker","baker","De bakker bakt elke ochtend brood.","bakery owner","We kochten brood bij de bakker."
"bal","ball","De kinderen speelden met een bal.","dance","Ze gingen naar het bal in het paleis."
"band","tire","De band van de fiets is lek.","connection","Ze hebben een sterke band met elkaar."
"bang","afraid","Ze was bang voor spinnen.","scared","Hij is bang in het donker."
"bank","bank","Hij zette zijn geld op de bank.","bench","Ze zaten samen op de bank in het park."
"basis","basis","Kennis is de basis van succes.","foundation","De basis voor het gebouw is gelegd."
"beantwoorden","to answer","Ze moest de e-mail beantwoorden.","to reply","Hij beantwoordde de vragen snel."
"bed (het)","bed","Hij ging vroeg naar bed.","bedstead","Het bed staat in de slaapkamer."
"bedanken","to thank","Ze bedankte hem voor zijn hulp.","to decline","Hij bedankte voor het aanbod."
"bedenken","to think of","Ze kon niets bedenken.","to invent","Hij bedacht een nieuw spel."
"bedienen","to serve","De ober moest veel tafels bedienen.","to operate","Je moet de machine voorzichtig bedienen."
"bedoelen","to mean","Wat bedoel je daarmee?","to intend","Ze bedoelde het goed."
"bedoeling","intention","De bedoeling was duidelijk.","purpose","Ze hadden een andere bedoeling."
"bedrag (het)","amount","Hij betaalde een groot bedrag.","sum","Het bedrag op de rekening klopt niet."
"bedragen","to amount to","De kosten bedragen honderd euro.","to total","De schade kan veel bedragen."
"bedrijf (het)","company","Het bedrijf groeit snel.","business","Ze startten een nieuw bedrijf."
"bedroefd","sad","Hij was bedroefd om het nieuws.","sorrowful","Ze keek bedroefd uit het raam."
"beeld (het)","image","Er hing een beeld aan de muur.","statue","Ze maakten een beeld van klei."
"been (het)","leg","Hij brak zijn been tijdens het skiën.","limb","Het been deed veel pijn."
"beest (het)","animal","Het beest rende weg.","beast","Ze waren bang voor het wilde beest."
"beetje (het)","bit","Wil je een beetje suiker?","small amount","Er is maar een beetje over."
"begin (het)","start","Het begin van het feest was druk.","beginning","In het begin was het rustig."
"beginnen","to begin","Ze gaan beginnen met werken.","to start","We beginnen morgen aan het project."
"begrijpelijk","understandable","Zijn reactie was begrijpelijk.","comprehensible","Dat is een begrijpelijk verhaal."
"begrijpen","to understand","Ze begrijpen de uitleg niet.","to comprehend","Ik begrijp wat je bedoelt."
"begrip (het)","concept","Het begrip was moeilijk te snappen.","understanding","Ze toonden begrip voor de situatie."
"behalve","except","Behalve Jan kwam iedereen.","besides","Behalve dat, was alles goed."
"behandelen","to treat","De dokter zal je behandelen.","to deal with","Hij kan dat probleem goed behandelen."
"behandeling","treatment","De behandeling duurt drie weken.","therapy","Ze ondergaat een behandeling."
"behoefte","need","Hij had behoefte aan rust.","requirement","Ze voelden behoefte om te praten."
"behoorlijk","quite","Het is behoorlijk koud buiten.","decent","Ze maakte een behoorlijke indruk."
"behouden","to keep","Ze willen hun tradities behouden.","to preserve","We moeten deze documenten behouden."
"beide","both","Beide kinderen kwamen mee.","the two","We hebben beide boeken gelezen."
"bekend","known","Hij is bekend in de stad.","famous","Ze werd bekend door haar werk."
"bekendmaken","to announce","Ze willen het nieuws bekendmaken.","to publish","Het rapport werd bekendgemaakt."
"bekennen","to confess","Hij moest zijn fout bekennen.","to admit","Ze bekende haar schuld."
"bekijken","to view","Ze wilde de film bekijken.","to look at","Ik ga het nog even bekijken."
"belachelijk","ridiculous","Dat idee is belachelijk.","absurd","Ze vond zijn gedrag belachelijk."
"belang (het)","interest","Ze hadden veel belang bij het project.","importance","Het belang van onderwijs is groot."
"belangrijk","important","Het is belangrijk om te studeren.","significant","Ze hadden een belangrijke taak."
"belangstelling","interest","Ze toonde veel belangstelling.","attention","De tentoonstelling trok veel belangstelling."
"belasting","tax","Ze moeten belasting betalen.","load","De brug kan veel belasting dragen."
"beleefd","polite","Hij bleef beleefd ondanks de situatie.","courteous","Ze sprak beleefd met de klanten."
"beleid (het)","policy","Het beleid van de regering is veranderd.","plan","Ze maakten een nieuw beleid."
"beleven","to experience","Ze mochten een mooi avontuur beleven.","to live through","Hij beleefde spannende tijden."
"bellen","to call","Ze moest hem bellen.","to ring","De telefoon blijft maar bellen."
"beloven","to promise","Hij belooft het op tijd te doen.","to vow","Ze beloofden elkaar trouw."
"beneden (vz)","down","Ze liepen beneden de brug.","below","De spullen lagen beneden de kast."
"beneden (bw)","downstairs","Hij is beneden aan het werk.","below","Ze keek beneden naar de straat."
"benzine","petrol","Ze tankten benzine bij het station.","gasoline","De benzine was bijna op."
"beoordelen","to assess","Ze moest de situatie beoordelen.","to judge","Hij beoordeelde haar prestaties."
"bepaald","certain","Ze heeft een bepaald doel.","specific","Dat is een heel bepaald geval."
"bepalen","to determine","Ze moesten de route bepalen.","to decide","Hij bepaalde wat er ging gebeuren."
"beperken","to limit","We moeten de schade beperken.","to restrict","Ze beperkten de toegang tot het terrein."
"bereid","ready","Ze was bereid om te helpen.","prepared","Hij is bereid om te vertrekken."
"bereiken","to reach","Ze konden de top bereiken.","to achieve","Hij bereikte zijn doel."
"berg","mountain","Ze klommen op de berg.","pile","Hij maakte een berg papieren op zijn bureau."
"bericht (het)","message","Ze kreeg een bericht van hem.","report","Hij las het bericht in de krant."
"beroep(het)","profession","Zijn beroep is leraar.","occupation","Hij koos een ander beroep."
"beschermen","to protect","De moeder beschermt haar kind.","to guard","Ze moesten het gebied beschermen."
"beschikbaar","available","De kamers zijn beschikbaar.","ready","De informatie is nu beschikbaar."
"bestaan","to exist","Spoken bestaan niet.","to live","Ze bestaan al eeuwen."
"bestaan (het)","existence","Het bestaan van het dorp is oud.","life","Ze dachten na over hun bestaan."
"besteden","to spend","Ze wil meer tijd besteden aan haar hobby.","to devote","Hij besteedde veel energie aan het project."
"bestellen","to order","Ze ging pizza bestellen voor het diner.","to book","Hij bestelde een tafel in het restaurant."
"bestuur (het)","board","Het bestuur besloot nieuwe regels.","management","Het bestuur kwam bijeen voor overleg."
"betalen","to pay","Hij moest de rekening betalen.","to settle","Ze betaalden contant bij de kassa."
"betekenen","to mean","Wat betekent dit woord?","to signify","Dit kan veel betekenen voor haar carrière."
"betekenis","meaning","De betekenis van dit symbool is duidelijk.","significance","De gebeurtenis had veel betekenis."
"beter","better","Ze voelt zich vandaag beter.","improved","Hij heeft een beter plan gemaakt."
"betreffen","to concern","Het bericht betreft alle medewerkers.","to relate to","Dit betreft vooral de nieuwe regels."
"betrekkelijk","relative","Het is een betrekkelijk klein probleem.","rather","De prijs is betrekkelijk laag."
"betrekken","to involve","Ze willen hem bij het project betrekken.","to engage","De leraar betrekt de studenten bij de les."
"betrekking","position","Ze heeft een nieuwe betrekking gekregen.","relation","Hun betrekking is zakelijk."
"beurs","stock exchange","Hij investeert op de beurs.","fair","Ze bezochten de jaarbeurs in Utrecht."
"beurt","turn","Het is jouw beurt om te spelen.","round","Iedereen kreeg een beurt in het spel."
"bevallen","to please","Het boek beviel haar zeer.","to give birth","Ze is gisteren bevallen van een dochter."
"bevatten","to contain","Het boek bevat veel informatie.","to include","Het rapport bevatte een overzicht van de cijfers."
"bevinden","to find oneself","Hij bevindt zich in het buitenland.","to be situated","Het kantoor bevindt zich in het centrum."
"bevolking","population","De bevolking van het dorp is klein.","inhabitants","De bevolking groeit elk jaar."
"bewaren","to keep","Ze wil deze brieven bewaren.","to store","Ze bewaren eten in de koelkast."
"bewegen","to move","De aarde beweegt om de zon.","to exercise","Hij probeert meer te bewegen."
"beweging","movement","De beweging van de auto was snel.","motion","Er is veel beweging op straat."
"beweren","to claim","Ze beweren dat ze gelijk hebben.","to allege","Hij beweerde onschuldig te zijn."
"bewijzen","to prove","Ze moesten hun onschuld bewijzen.","to evidence","Hij kon zijn woorden niet bewijzen."
"bewoner","inhabitant","De bewoners protesteerden tegen het plan.","resident","De bewoner van dat huis is vriendelijk."
"bewust","aware","Ze is zich bewust van het probleem.","conscious","Hij was niet bewust tijdens de operatie."
"bezet","occupied","De kamer is bezet.","busy","Hij is bezet met een vergadering."
"bezig","busy","Ze is bezig met haar huiswerk.","occupied","Hij was bezig de auto te repareren."
"bezitten","to own","Hij bezit een groot huis.","to possess","Ze bezitten veel land."
"bezoek (het)","visit","Ze bracht een bezoek aan haar oma.","call","Hij kwam op bezoek bij vrienden."
"bezoeken","to visit","Ze gingen het museum bezoeken.","to attend","Hij bezocht de vergadering."
"bezwaar (het)","objection","Ze maakten bezwaar tegen het plan.","concern","Hij had bezwaar bij de beslissing."
"bidden","to pray","Ze gingen samen bidden.","to say a prayer","Hij bad voor een goede afloop."
"bieden","to offer","Ze willen hulp bieden.","to bid","Hij bood op het huis."
"bier (het)","beer","Ze dronken bier op het terras.","ale","Hij bestelde een koud bier."
"bij (vz)","at","Hij zit bij het raam.","near","Ze woont bij het station."
"bij (bij)","bee","Een bij vloog door de tuin.","honeybee","Hij werd gestoken door een bij."
"bijdrage","contribution","Ze leverde een bijdrage aan het project.","input","Zijn bijdrage was waardevol."
"bijdragen","to contribute","Ze willen bijdragen aan het succes.","to add","Hij droeg bij aan de discussie."
"bijvoorbeeld","for example","Veel fruit, bijvoorbeeld appels, is gezond.","such as","Ze houden van sport, bijvoorbeeld tennis."
"bijzonder","special","Het was een bijzonder moment.","remarkable","Ze deed iets bijzonders voor haar vriend."
"binden","to tie","Ze moest haar schoenen binden.","to bind","Hij bond de boeken samen."
"binnen (vz)","inside","Ze bleven binnen het huis.","within","Het project moet binnen een week af zijn."
"binnen (bw)","inside","Kom binnen, het regent.","indoors","Ze bleven binnen vanwege de kou."
"binnenkomen","to enter","Ze kwam laat binnen.","to come in","Hij kon niet zomaar binnenkomen."
"bioscoop","cinema","Ze gingen naar de bioscoop.","movie theater","De bioscoop draait een nieuwe film."
"bitter","bitter","De koffie smaakte bitter.","harsh","Het was een bittere ervaring."
"blad (het)","leaf","Een blad viel van de boom.","magazine","Ik las een interessant blad."
"blank","white","Hij schilderde de muur blank.","fair","Ze hebben een blank canvas gebruikt."
"blauw","blue","Ze droeg een blauwe jurk.","azure","De lucht is helder blauw."
"blij(de)","happy","Ze was blij met het cadeau.","glad","Hij was blij je te zien."
"blijkbaar","apparently","Blijkbaar wist hij het al.","evidently","Ze waren blijkbaar niet op de hoogte."
"blijken","to appear","Het blijkt een goed idee te zijn.","to turn out","Het bleek moeilijker dan gedacht."
"blijven","to stay","Ze blijven hier overnachten.","to remain","Hij bleef kalm in de situatie."
"blik(de)","look","Ze wierp een blik op de klok.","glance","Hij gaf haar een korte blik."
"blik(het)","can","Hij kocht een blik soep.","tin","Ze openden een blik tomaten."
"blind","blind","Hij is blind aan één oog.","sightless","Ze helpt blinde mensen."
"bloed (het)","blood","Hij verloor veel bloed.","gore","Het bloedde hevig na de val."
"bloem","flower","Ze plukte een bloem in de tuin.","flour","Voeg bloem toe aan het deeg."
"bloes","blouse","Ze droeg een mooie bloes.","shirt","Haar bloes was wit."
"blok (het)","block","Ze schreven op een blok papier.","chunk","Er lag een blok hout in de tuin."
"blouse","blouse","Ze kocht een nieuwe blouse voor het feest.","shirt","Hij droeg een witte blouse."
"bodem","ground","De bodem van de zee is diep.","soil","Ze onderzochten de bodem van de tuin."
"boek (het)","book","Ze leest een spannend boek.","volume","Hij schreef een dik boek."
"boel","lot","Ze heeft een boel werk te doen.","mess","De kamer is een boel rommel."
"boer","farmer","De boer werkt op het land.","peasant","Ze spraken met een boer over oogsten."
"bon","voucher","Ze kreeg een bon voor korting.","receipt","De bon werd bewaard als bewijs."
"boodschap","message","Hij liet een boodschap achter.","errand","Ze ging boodschappen doen."
"boom","tree","Er staat een boom in de tuin.","wood","Ze zagen een boom om."
"boord (het, de)","edge","Ze stond aan boord van het schip.","collar","De boord van zijn overhemd zat scheef."
"boos","angry","Hij werd boos om de fout.","mad","Ze was boos op haar broer."
"boot","boat","Ze voeren met de boot.","ship","De boot lag in de haven."
"bord (het)","plate","Zet je bord op tafel.","sign","Het bord gaf de weg aan."
"borst","chest","Hij voelde pijn op zijn borst.","breast","Ze had een sieraad op haar borst."
"bos (het, de)","forest","Ze wandelden door het bos.","bunch","Ze gaf hem een bos bloemen."
"boterham","sandwich","Ze at een boterham met kaas.","slice of bread","Hij smeerde een boterham voor de lunch."
"bouw","construction","De bouw van het huis begon in mei.","structure","De bouw van de brug was indrukwekkend."
"bouwen","to build","Ze willen een huis bouwen.","to construct","Hij bouwde een hut in het bos."
"boven","above","De lamp hangt boven de tafel.","upstairs","Hij woont boven de winkel."
"boven","above","De kat zit boven op de kast.","over","Het vliegtuig vloog boven de wolken."
"bovendien","moreover","Het is goedkoop en bovendien handig.","besides","Bovendien hadden ze veel plezier."
"brand","fire","Er brak brand uit in het gebouw.","blaze","Ze zagen een grote brand in de verte."
"branden","to burn","Het hout brandt goed.","to light","Ze brandden een kaars voor het raam."
"breed","wide","De straat is breed.","broad","Ze heeft een brede glimlach."
"breken","to break","Hij brak een glas.","to fracture","Ze brak haar arm tijdens het skiën."
"brengen","to bring","Ze wil een boek brengen naar school.","to take","Hij bracht haar naar huis."
"brief","letter","Ze schreef een lange brief.","note","Hij kreeg een brief in de bus."
"bril","glasses","Ze draagt een bril voor het lezen.","spectacles","Zijn bril is nieuw."
"broek","pants","Hij droeg een nette broek.","trousers","Ze kocht een nieuwe broek."
"broer","brother","Mijn broer woont in België.","sibling","Haar broer is ouder dan zij."
"brommer","moped","Ze rijden op een brommer naar school.","scooter","Hij heeft een nieuwe brommer gekocht."
"brood (het)","bread","Ze bakten vers brood.","loaf","Hij kocht een brood bij de bakker."
"broodje (het)","roll","Ze aten een broodje ham.","sandwich","Hij bestelde een broodje kaas."
"brug","bridge","Ze staken de brug over.","span","De brug was gesloten voor verkeer."
"bruin","brown","Hij draagt een bruine jas.","tan","De muren waren bruin geverfd."
"buigen","to bend","Ze moest voorover buigen.","to bow","Hij boog voor de koning."
"buik","belly","Ze had pijn in haar buik.","stomach","Zijn buik deed pijn na het eten."
"buiten (vz)","outside","Ze stond buiten het huis.","out of","Hij bleef buiten het probleem."
"buiten (bw)","outside","Ze speelden buiten.","outdoors","Ze bleven buiten in de zon."
"buitengewoon","extraordinary","Hij heeft buitengewoon talent.","exceptional","Ze gaf buitengewoon veel moeite."
"buitenland (het)","abroad","Ze wonen in het buitenland.","foreign country","Ze gingen naar het buitenland op vakantie."
"buitenlands","foreign","Ze sprak met een buitenlandse toerist.","international","Het buitenlandse bedrijf investeert hier."
"bureau (het)","desk","Hij zit aan zijn bureau.","office","Ze werkt op een groot bureau."
"burgemeester","mayor","De burgemeester hield een toespraak.","chief magistrate","De burgemeester is gekozen."
"bus","bus","Ze nemen de bus naar de stad.","coach","De bus vertrok op tijd."
"buur","neighbor","Onze buur is vriendelijk.","neighbour","Ze groet haar buur elke ochtend."
"buurt","neighborhood","De buurt is rustig.","area","Ze wonen in een veilige buurt."
"C","C","De letter C is na B.","cee","Hij oefent de C."
"cadeau (het)","gift","Ze kreeg een cadeau voor haar verjaardag.","present","Hij gaf een mooi cadeau."
"café (het)","café","Ze zitten in een gezellig café.","pub","We ontmoeten elkaar in het café."
"caravan","caravan","Ze reizen met een caravan.","trailer","Ze hebben een caravan gekocht."
"cassette","cassette","Hij luisterde naar een cassette.","tape","De cassette ligt op de tafel."
"cd","CD","Ze kocht een nieuwe cd.","compact disc","Hij luisterde naar een cd."
"cent","cent","Het kost maar een cent.","penny","Ze spaarde elke cent."
"centiem","centime","Hij betaalde een centiem.","cent","Een centiem is een kleine munt."
"centimeter","centimeter","Het lint is vijf centimeter lang.","cm","Ze mat tien centimeter."
"centraal","central","Het station ligt centraal.","main","Het is centraal gelegen."
"centrum (het)","center","Ze wonen in het centrum van de stad.","downtown","Het centrum is druk."
"chauffeur","driver","De chauffeur reed voorzichtig.","motorist","Ze praatten met de chauffeur."
"chef","chief","De chef gaf nieuwe instructies.","boss","Ze spraken met de chef over werk."
"chemisch","chemical","Ze onderzochten een chemisch proces.","chemistry-related","Hij studeert chemische technologie."
"christelijk","Christian","Hij volgt christelijke tradities.","religious","De school is christelijk."
"christen","Christian","Ze is een christen.","believer","Christenen vieren Pasen."
"cijfer (het)","number","Het cijfer is vijf.","grade","Hij kreeg een goed cijfer voor het examen."
"circa","about","Er waren circa honderd mensen.","approximately","Het kost circa twintig euro."
"citroen","lemon","Ze kocht een citroen.","lime","Ze persde een citroen uit."
"club","club","Ze gaan naar de club.","association","Ze is lid van een club."
"collega","colleague","Mijn collega is ziek.","coworker","Ze werkt met een fijne collega."
"college (het)","lecture","Het college begon om negen uur.","class","Ze volgde een interessant college."
"commissie","committee","De commissie nam een besluit.","board","Hij zit in een commissie."
"computer","computer","Ze gebruikt een computer voor werk.","PC","De computer is snel."
"congres (het)","conference","Het congres begon op tijd.","meeting","Ze gingen naar een congres."
"conclusie","conclusion","De conclusie is duidelijk.","result","Ze kwamen tot een conclusie."
"consequentie","consequence","Elke actie heeft een consequentie.","result","De consequenties waren groot."
"constateren","to establish","Ze constateerden dat er een fout was.","to note","Hij constateerde het probleem snel."
"contact (het)","contact","Ze hebben veel contact via e-mail.","connection","Het contact was kort maar belangrijk."
"controleren","to check","Ze moeten de gegevens controleren.","to verify","Hij controleerde de lijst."
"crisis","crisis","Het land verkeert in crisis.","emergency","Ze handelen tijdens een crisis."
"cultuur","culture","De cultuur van dit land is rijk.","civilization","Ze bestudeerden de cultuur."
"cursus","course","Ze volgden een cursus Spaans.","class","De cursus duurde zes weken."
"D","D","De letter D komt na C.","dee","Hij schrijft een D."
"daad","deed","Hij toonde een moedige daad.","act","Ze waardeerden de daad."
"daar","there","Ze gingen daar zitten.","over there","Daar ligt het boek."
"daarna","afterwards","Ze gingen daarna naar huis.","then","Daarna aten ze samen."
"daarom","therefore","Hij studeerde veel, daarom slaagde hij.","that's why","Ze bleef thuis, daarom miste ze het feest."
"dadelijk","immediately","Ik kom dadelijk terug.","soon","Hij komt dadelijk bij je."
